userId,group,BlockNr,TrialNr,timeAgreementScene,timeStartScene,timeStableUntilFeeding,timeFeedbackScene
bc4b84f131c24fafad926ce4429c0dfe,1,3,5,7747,25511,12743,14507
bc4b84f131c24fafad926ce4429c0dfe,1,3,6,7747,25511,18336,14507
bc4b84f131c24fafad926ce4429c0dfe,1,4,7,7747,25511,6177,10685
bc4b84f131c24fafad926ce4429c0dfe,1,4,8,7747,25511,22764,10685
bc4b84f131c24fafad926ce4429c0dfe,1,5,9,7747,25511,23254,10692
bc4b84f131c24fafad926ce4429c0dfe,1,5,10,7747,25511,19091,10692
bc4b84f131c24fafad926ce4429c0dfe,1,6,11,7747,25511,9345,10803
bc4b84f131c24fafad926ce4429c0dfe,1,6,12,7747,25511,17407,10803
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,1,1,665213,472991,38610,11042
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,1,2,665213,472991,17208,11042
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,2,3,665213,472991,15813,15926
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,2,4,665213,472991,7372,15926
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,3,5,665213,472991,6209,14789
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,3,6,665213,472991,6488,14789
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,4,7,665213,472991,4218,10793
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,4,8,665213,472991,7016,10793
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,5,9,665213,472991,10596,11851
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,5,10,665213,472991,8622,11851
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,6,11,665213,472991,3654,11068
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,6,12,665213,472991,13325,11068
11b5161128cc450d9f1238ed44c4cec2,1,1,1,2762,26896,26178,10792
11b5161128cc450d9f1238ed44c4cec2,1,1,2,2762,26896,8856,10792
11b5161128cc450d9f1238ed44c4cec2,1,2,3,2762,26896,6170,11132
11b5161128cc450d9f1238ed44c4cec2,1,2,4,2762,26896,10368,11132
11b5161128cc450d9f1238ed44c4cec2,1,3,5,2762,26896,3653,10906
11b5161128cc450d9f1238ed44c4cec2,1,3,6,2762,26896,6305,10906
11b5161128cc450d9f1238ed44c4cec2,1,4,7,2762,26896,3376,10743
11b5161128cc450d9f1238ed44c4cec2,1,4,8,2762,26896,4342,10743
11b5161128cc450d9f1238ed44c4cec2,1,5,9,2762,26896,4203,11096
11b5161128cc450d9f1238ed44c4cec2,1,5,10,2762,26896,3642,11096
11b5161128cc450d9f1238ed44c4cec2,1,6,11,2762,26896,3542,10721
11b5161128cc450d9f1238ed44c4cec2,1,6,12,2762,26896,3910,10721
8b74dcaa6c5c4c77876c54e0bdb3690a,0,1,1,6756,42434,38198,11395
8b74dcaa6c5c4c77876c54e0bdb3690a,0,1,2,6756,42434,29548,11395
8b74dcaa6c5c4c77876c54e0bdb3690a,0,2,3,6756,42434,9664,11164
8b74dcaa6c5c4c77876c54e0bdb3690a,0,2,4,6756,42434,32166,11164
