userId,group,BlockNr,TrialNr,timeAgreementScene,timeStartScene,timeStableUntilFeeding,timeFeedbackScene
5f458562bae346dd895c2f78e895c19f,1,1,2,2113,18890,44470,7806
5f458562bae346dd895c2f78e895c19f,1,2,3,2113,18890,51067,6050
5f458562bae346dd895c2f78e895c19f,1,2,4,2113,18890,12618,6050
5f458562bae346dd895c2f78e895c19f,1,3,5,2113,18890,2550,6991
5f458562bae346dd895c2f78e895c19f,1,3,6,2113,18890,3336,6991
5f458562bae346dd895c2f78e895c19f,1,4,7,2113,18890,13941,12695
5f458562bae346dd895c2f78e895c19f,1,4,8,2113,18890,5571,12695
5f458562bae346dd895c2f78e895c19f,1,5,9,2113,18890,6359,6745
5f458562bae346dd895c2f78e895c19f,1,5,10,2113,18890,12999,6745
5f458562bae346dd895c2f78e895c19f,1,6,11,2113,18890,12768,11961
5f458562bae346dd895c2f78e895c19f,1,6,12,2113,18890,7369,11961
c9137c5421c44ca086da95757e62b3e9,0,1,1,3183,32683,5408,6484
c9137c5421c44ca086da95757e62b3e9,0,1,2,3183,32683,5559,6484
c9137c5421c44ca086da95757e62b3e9,0,2,3,3183,32683,4931,6184
c9137c5421c44ca086da95757e62b3e9,0,2,4,3183,32683,1873,6184
c9137c5421c44ca086da95757e62b3e9,0,3,5,3183,32683,1588,6286
c9137c5421c44ca086da95757e62b3e9,0,3,6,3183,32683,7826,6286
c9137c5421c44ca086da95757e62b3e9,0,4,7,3183,32683,1278,8163
c9137c5421c44ca086da95757e62b3e9,0,4,8,3183,32683,2260,8163
c9137c5421c44ca086da95757e62b3e9,0,5,9,3183,32683,1590,7716
c9137c5421c44ca086da95757e62b3e9,0,5,10,3183,32683,3327,7716
c9137c5421c44ca086da95757e62b3e9,0,6,11,3183,32683,3889,8198
c9137c5421c44ca086da95757e62b3e9,0,6,12,3183,32683,3899,8198
2a76166b5b2441f9bac17fd2869bc856,0,1,1,9095,24606,32266,13684
2a76166b5b2441f9bac17fd2869bc856,0,1,2,9095,24606,19973,13684
2a76166b5b2441f9bac17fd2869bc856,0,2,3,9095,24606,7752,16721
2a76166b5b2441f9bac17fd2869bc856,0,2,4,9095,24606,11590,16721
2a76166b5b2441f9bac17fd2869bc856,0,3,5,9095,24606,18786,9777
2a76166b5b2441f9bac17fd2869bc856,0,3,6,9095,24606,5926,9777
2a76166b5b2441f9bac17fd2869bc856,0,4,7,9095,24606,7683,7611
2a76166b5b2441f9bac17fd2869bc856,0,4,8,9095,24606,6737,7611
2a76166b5b2441f9bac17fd2869bc856,0,5,9,9095,24606,7438,6049
2a76166b5b2441f9bac17fd2869bc856,0,5,10,9095,24606,4842,6049
2a76166b5b2441f9bac17fd2869bc856,0,6,11,9095,24606,5693,7161
2a76166b5b2441f9bac17fd2869bc856,0,6,12,9095,24606,3848,7161
