userId,group,BlockNr,TrialNr,timeAgreementScene,timeStartScene,timeStableUntilFeeding,timeFeedbackScene
67902ecb09454c9fa106f613aeb00e3b,1,3,5,14686,42126,11657,19921
67902ecb09454c9fa106f613aeb00e3b,1,3,6,14686,42126,10808,19921
67902ecb09454c9fa106f613aeb00e3b,1,4,7,14686,42126,16752,17880
67902ecb09454c9fa106f613aeb00e3b,1,4,8,14686,42126,11322,17880
67902ecb09454c9fa106f613aeb00e3b,1,5,9,14686,42126,7296,14771
67902ecb09454c9fa106f613aeb00e3b,1,5,10,14686,42126,7598,14771
67902ecb09454c9fa106f613aeb00e3b,1,6,11,14686,42126,5427,12911
67902ecb09454c9fa106f613aeb00e3b,1,6,12,14686,42126,9464,12911
9d673a6ed17042b88756047944809447,1,1,1,3906,32592,22113,40673
9d673a6ed17042b88756047944809447,1,1,2,3906,32592,8378,40673
9d673a6ed17042b88756047944809447,1,2,3,3906,32592,8327,13500
9d673a6ed17042b88756047944809447,1,2,4,3906,32592,14798,13500
9d673a6ed17042b88756047944809447,1,3,5,3906,32592,3559,10772
9d673a6ed17042b88756047944809447,1,3,6,3906,32592,2602,10772
9d673a6ed17042b88756047944809447,1,4,7,3906,32592,3874,11026
9d673a6ed17042b88756047944809447,1,4,8,3906,32592,6625,11026
9d673a6ed17042b88756047944809447,1,5,9,3906,32592,4420,10957
9d673a6ed17042b88756047944809447,1,5,10,3906,32592,7831,10957
9d673a6ed17042b88756047944809447,1,6,11,3906,32592,6280,11280
9d673a6ed17042b88756047944809447,1,6,12,3906,32592,11310,11280
883f7ba094f840c5a5404856e94a69be,1,1,1,8715,53133,36000,24141
883f7ba094f840c5a5404856e94a69be,1,1,2,8715,53133,23501,24141
4dd8f62dc0ff4caebca68f0dbc48accc,1,1,1,5996,20854,9333,12116
4dd8f62dc0ff4caebca68f0dbc48accc,1,1,2,5996,20854,11110,12116
4dd8f62dc0ff4caebca68f0dbc48accc,1,2,3,5996,20854,7218,12596
4dd8f62dc0ff4caebca68f0dbc48accc,1,2,4,5996,20854,7537,12596
4dd8f62dc0ff4caebca68f0dbc48accc,1,3,5,5996,20854,5484,11055
4dd8f62dc0ff4caebca68f0dbc48accc,1,3,6,5996,20854,6090,11055
4dd8f62dc0ff4caebca68f0dbc48accc,1,4,7,5996,20854,6500,11089
4dd8f62dc0ff4caebca68f0dbc48accc,1,4,8,5996,20854,7001,11089
4dd8f62dc0ff4caebca68f0dbc48accc,1,5,9,5996,20854,7361,11457
